date,open,high,low,close,volume
20221013131300,22150,22155,22150,22155,245
20221013131200,22160,22160,22155,22155,64
20221013131100,22160,22160,22150,22160,89
20221013131000,22155,22160,22145,22145,504
20221013130900,22150,22155,22150,22155,268
20221013130800,22150,22150,22150,22150,175
20221013130700,22145,22155,22145,22155,316
20221013130600,22150,22155,22145,22145,284
20221013130500,22165,22165,22155,22165,141
20221013130400,22160,22165,22155,22165,176
20221013130300,22175,22175,22150,22165,155
20221013130200,22170,22175,22165,22175,179
20221013130100,22180,22180,22170,22170,176
20221013130000,22175,22180,22175,22180,353
20221013125900,22185,22185,22180,22180,159
20221013125800,22180,22185,22175,22185,176
20221013125700,22175,22190,22175,22175,196
20221013125600,22190,22190,22180,22180,263
20221013125500,22190,22190,22185,22190,170
20221013125400,22200,22200,22185,22195,339
20221013125300,22205,22205,22190,22200,222
20221013125200,22205,22205,22205,22205,53
20221013125100,22195,22200,22195,22200,191
20221013125000,22185,22195,22185,22195,396
20221013124900,22195,22195,22185,22195,228
20221013124800,22195,22195,22195,22195,110
20221013124700,22195,22195,22190,22195,138
20221013124600,22195,22195,22195,22195,86
20221013124500,22195,22195,22185,22195,171
20221013124400,22185,22195,22185,22195,231
20221013124300,22185,22190,22185,22185,8021
20221013124200,22180,22185,22180,22185,155
20221013124100,22180,22180,22180,22180,68
20221013124000,22175,22180,22175,22180,113
20221013123900,22175,22180,22175,22180,195
20221013123800,22180,22180,22180,22180,67
20221013123700,22180,22180,22180,22180,15
20221013123600,22170,22180,22170,22175,268
20221013123500,22185,22185,22170,22180,44
20221013123400,22175,22185,22175,22185,65
20221013123300,22180,22180,22175,22180,222
20221013123200,22165,22180,22165,22180,55
20221013123100,22170,22175,22170,22175,112
20221013123000,22175,22175,22170,22170,265
20221013122900,22160,22175,22160,22175,248
20221013122800,22155,22160,22150,22160,84
20221013122700,22150,22155,22140,22155,237
20221013122600,22150,22155,22150,22155,47
20221013122500,22155,22155,22150,22150,114
20221013122400,22160,22160,22155,22155,203
20221013122300,22160,22160,22150,22160,36
20221013122200,22140,22155,22140,22155,145
20221013122100,22150,22150,22140,22140,187
20221013122000,22155,22155,22140,22145,58
20221013121900,22150,22150,22145,22150,422
20221013121800,22155,22155,22145,22145,189
20221013121700,22160,22170,22155,22155,128
20221013121600,22170,22170,22165,22165,188
20221013121500,22170,22170,22165,22170,119
20221013121400,22175,22175,22170,22170,129
20221013121300,22165,22175,22165,22175,123
20221013121200,22160,22170,22160,22160,101
20221013121100,22160,22175,22160,22170,145
20221013121000,22175,22175,22160,22160,234
20221013120900,22175,22175,22175,22175,51
20221013120800,22175,22175,22155,22155,130
20221013120700,22160,22175,22160,22175,296
20221013120600,22175,22175,22170,22170,77
20221013120500,22170,22170,22165,22170,173
20221013120400,22170,22170,22170,22170,106
20221013120300,22180,22180,22165,22165,256
20221013120200,22180,22180,22175,22180,209
20221013120100,22175,22180,22175,22180,47
20221013120000,22175,22180,22170,22180,67
20221013115900,22180,22180,22175,22180,355
20221013115800,22185,22185,22180,22180,81
20221013115700,22185,22185,22185,22185,5
20221013115600,22185,22185,22180,22185,247
20221013115500,22185,22185,22180,22185,74
20221013115400,22185,22185,22185,22185,22
20221013115300,22185,22185,22180,22185,264
20221013115200,22185,22185,22185,22185,33
20221013115100,22180,22190,22180,22190,78
20221013115000,22185,22185,22160,22180,522
20221013114900,22185,22185,22185,22185,46
20221013114800,22190,22190,22185,22185,182
20221013114700,22190,22190,22185,22185,217
20221013114600,22190,22190,22190,22190,21
20221013114500,22190,22190,22190,22190,235
20221013114400,22185,22195,22185,22190,70
20221013114300,22190,22195,22190,22195,116
20221013114200,22185,22190,22185,22190,301
20221013114100,22185,22185,22180,22185,127
20221013114000,22190,22190,22185,22185,53
20221013113900,22190,22190,22190,22190,222
20221013113800,22195,22195,22190,22190,13
20221013113700,22190,22195,22190,22195,228
20221013113600,22190,22195,22190,22190,217
20221013113500,22190,22190,22190,22190,27
20221013113400,22180,22190,22180,22190,129
20221013113300,22180,22180,22180,22180,184
20221013113200,22180,22180,22175,22180,39
20221013113100,22170,22175,22170,22175,114
20221013113000,22165,22170,22165,22170,301
20221013112900,22160,22165,22160,22165,16
20221013112800,22170,22170,22165,22165,291
20221013112700,22170,22170,22170,22170,63
20221013112600,22175,22175,22170,22170,136
20221013112500,22175,22175,22175,22175,264
20221013112400,22175,22175,22175,22175,32
20221013112300,22175,22175,22175,22175,12
20221013112200,22175,22175,22175,22175,281
20221013112100,22175,22175,22175,22175,17
20221013112000,22170,22175,22170,22175,12
20221013111900,22170,22170,22170,22170,254
20221013111800,22175,22175,22160,22160,6994
20221013111700,22175,22175,22170,22175,152
20221013111600,22180,22180,22175,22175,230
20221013111500,22185,22185,22180,22180,62
20221013111400,22185,22190,22185,22185,100
20221013111300,22195,22195,22185,22185,379
20221013111200,22205,22205,22195,22195,323
20221013111100,22215,22215,22205,22205,5892
20221013111000,22215,22215,22210,22215,945
20221013110900,22220,22220,22215,22215,80
20221013110800,22220,22220,22210,22210,308
20221013110700,22215,22220,22210,22220,744
20221013110600,22220,22220,22220,22220,70
20221013110500,22225,22225,22220,22220,2031
20221013110400,22230,22230,22220,22225,5425
20221013110300,22245,22245,22235,22235,114
20221013110200,22245,22250,22245,22245,178
20221013110100,22240,22245,22235,22245,77
20221013110000,22245,22245,22245,22245,123
20221013105900,22250,22250,22245,22245,125
20221013105800,22245,22250,22245,22250,63
20221013105700,22250,22250,22245,22245,187
20221013105600,22250,22250,22250,22250,145
20221013105500,22250,22250,22250,22250,13
20221013105400,22250,22255,22250,22250,142
20221013105300,22250,22255,22250,22255,140
20221013105200,22255,22255,22250,22250,91
20221013105100,22245,22250,22245,22250,126
20221013105000,22235,22245,22235,22245,182
20221013104900,22235,22235,22230,22230,56
20221013104800,22240,22240,22235,22235,281
20221013104700,22240,22240,22235,22240,27
20221013104600,22230,22235,22230,22235,68
20221013104500,22230,22230,22225,22225,222
20221013104400,22235,22235,22220,22230,137
20221013104300,22235,22235,22230,22230,5040
20221013104200,22245,22250,22235,22235,7185
20221013104100,22250,22250,22245,22245,106
20221013104000,22250,22250,22240,22250,72
20221013103900,22240,22250,22235,22250,197
20221013103800,22245,22255,22240,22240,78
20221013103700,22240,22255,22240,22250,127
20221013103600,22255,22255,22255,22255,152
20221013103500,22255,22255,22250,22255,74
20221013103400,22255,22255,22255,22255,11
20221013103300,22235,22255,22235,22250,1978
20221013103200,22260,22260,22255,22255,12
20221013103100,22260,22260,22245,22245,161
20221013103000,22255,22255,22255,22255,7021
20221013102900,22255,22255,22255,22255,12
20221013102800,22250,22250,22250,22250,13
20221013102700,22245,22250,22240,22250,64
20221013102600,22240,22250,22240,22250,912
20221013102500,22240,22250,22240,22240,6320
20221013102400,22250,22250,22250,22250,20
20221013102300,22265,22265,22245,22250,5268
20221013102200,22270,22270,22270,22270,11
20221013102100,22265,22270,22265,22270,110
20221013102000,22265,22265,22265,22265,10
20221013101900,22260,22260,22255,22260,18
20221013101800,22260,22260,22260,22260,13
20221013101700,22260,22260,22255,22260,184
20221013101600,22260,22260,22250,22250,22
20221013101500,22250,22260,22250,22250,161
20221013101400,22260,22260,22260,22260,21
20221013101300,22260,22260,22260,22260,4
20221013101200,22265,22265,22255,22255,265
20221013101100,22265,22270,22260,22260,68
20221013101000,22265,22265,22265,22265,13
20221013100900,22275,22275,22275,22275,4
20221013100800,22280,22280,22275,22275,19
20221013100700,22285,22290,22270,22270,1920
20221013100600,22290,22290,22275,22285,139
20221013100500,22295,22295,22295,22295,4
20221013100400,22295,22295,22295,22295,11
20221013100300,22295,22295,22295,22295,31
20221013100200,22285,22290,22260,22290,177
20221013100100,22275,22280,22275,22280,11
20221013100000,22280,22280,22275,22275,12
20221013095900,22270,22280,22270,22280,19
20221013095800,22290,22295,22290,22290,19
20221013095700,22290,22290,22290,22290,29
20221013095600,22285,22290,22285,22290,20
20221013095500,22285,22285,22285,22285,35
20221013095400,22270,22285,22270,22285,1177
20221013095300,22270,22270,22270,22270,13
20221013095200,22255,22270,22255,22270,12
20221013095100,22255,22275,22255,22270,42
20221013095000,22260,22275,22255,22255,171
20221013094900,22260,22260,22260,22260,15
20221013094800,22260,22260,22260,22260,2
20221013094700,22260,22260,22260,22260,2
20221013094600,22255,22260,22255,22260,4944
20221013094500,22255,22270,22255,22270,174
20221013094400,22260,22265,22260,22265,5115
20221013094300,22275,22275,22260,22260,46
20221013094200,22290,22290,22280,22280,8
20221013094100,22290,22290,22280,22280,49
20221013094000,22295,22295,22285,22285,3
20221013093900,22300,22300,22300,22300,9
20221013093800,22310,22310,22290,22300,19
20221013093700,22315,22315,22315,22315,2
20221013093600,22325,22325,22325,22325,11
20221013093500,22295,22305,22295,22305,95
20221013093400,22300,22300,22295,22295,20
20221013093300,22305,22310,22300,22300,116
20221013093200,22320,22320,22305,22305,147
20221013093100,22325,22325,22315,22325,4518
20221013093000,22335,22335,22325,22325,81
20221013092900,22325,22325,22325,22325,52
20221013092800,22330,22335,22330,22335,13
20221013092700,22345,22345,22345,22345,3
20221013092600,22335,22340,22335,22340,72
20221013092500,22320,22335,22320,22335,67
20221013092400,22330,22330,22325,22325,42
20221013092300,22325,22350,22325,22350,24
20221013092200,22355,22355,22330,22330,3
20221013092100,22350,22350,22350,22350,90
20221013092000,22320,22330,22315,22330,330
20221013091900,22315,22315,22315,22315,13
20221013091700,22320,22320,22300,22315,57
20221013091600,22300,22320,22300,22320,12
20221013091500,22320,22320,22300,22320,604
20221013091400,22330,22330,22330,22330,34
20221013091300,22320,22330,22315,22325,113
20221013091200,22325,22325,22320,22325,28
20221013091100,22330,22330,22325,22325,10
